Date,Close,High,Low,Open,Volume
31/01/2022,14381.59961,14406.2998,14330.90039,14381,0
01/02/2022,14350,14380,14296.2998,14350,0
02/02/2022,14322.2998,14382.2998,14292.09961,14328,0
03/02/2022,14363.7998,14404.90039,14348.7002,14362.7998,0
04/02/2022,14377,14416.40039,14309.09961,14377,0
07/02/2022,14400.40039,14419.2998,14373,14373,0
08/02/2022,14405.59961,14405.59961,14331.98047,14393.59961,0
09/02/2022,14379.5,14386,14332.40039,14379.5,0
10/02/2022,14334.2002,14366,14310.09961,14334.2002,0
11/02/2022,14328,14367.90039,14298.59961,14340,0
14/02/2022,14344.7002,14351.40039,14304.59961,14345,0
15/02/2022,14303,14321,14081,14302,0
16/02/2022,14260.59961,14297.7998,14220.54004,14260.59961,0
17/02/2022,14274.40039,14362.40039,14206.61035,14274.7998,0
18/02/2022,14348,14375.40039,14301.7998,14360,0
21/02/2022,14365.90039,14366.90039,14267.30957,14321,0
22/02/2022,14355,14383.7998,14321,14355,0
23/02/2022,14395,14395,14325.7998,14395,0
24/02/2022,14365,14457.2998,14331,14364,0
25/02/2022,14452.5,14455,14319.59961,14452.5,0
28/02/2022,14334.2002,14408,14341,14360,0
01/03/2022,14360,14415.40039,14320,14395,0
02/03/2022,14425,14424.5,14341,14424.5,0
03/03/2022,14387.5,14415.2998,14352.5,14386.5,0
04/03/2022,14358.40039,14398.09961,14357.7002,14358.40039,0
07/03/2022,14381.7002,14445.5,14377.2998,14381,0
08/03/2022,14406.40039,14439.5,14266.40039,14439.5,0
09/03/2022,14362.7002,14391,14264.7998,14381,0
10/03/2022,14251,14341,14250,14250,0
11/03/2022,14275,14321,14089.59961,14275,0
14/03/2022,14325.5,14339.2998,14234.46973,14296,0
15/03/2022,14347.5,14346.5,14289,14346.5,0
16/03/2022,14305.2998,14315.2998,14081.2002,14308,0
17/03/2022,14263.5,14337.7998,14253.5,14262.5,0
18/03/2022,14326,14357.7998,14218.5498,14325.5,0
21/03/2022,14342.2998,14350.7002,14268.2998,14335,0
22/03/2022,14345,14357,14269.2998,14342,0
23/03/2022,14345.5,14386,14321,14345.5,0
24/03/2022,14389,14389,14344,14389,0
25/03/2022,14337.09961,14375,14326,14358,0
28/03/2022,14334,14374.7002,14334,14334,0
29/03/2022,14373,14372.2002,14288.2002,14373,0
30/03/2022,14334,14362.5,14292.17969,14334,0
31/03/2022,14327.5,14375.40039,14319.5,14327.5,0
01/04/2022,14351,14379.2002,14341.2002,14351,0
04/04/2022,14361,14366.5,14292.17969,14361,0
05/04/2022,14322.2998,14368,14322.2998,14322.2998,0
06/04/2022,14365.5,14384.90039,14340,14365.5,0
07/04/2022,14382,14381.7998,14349,14382,0
08/04/2022,14385,14393.40039,14352,14385,0
11/04/2022,14355,14381.2998,14355,14355,0
12/04/2022,14360.7002,14381.2002,14351.7002,14360.7002,0
13/04/2022,14364.2002,15611.59961,14338.59961,14364.2002,0
14/04/2022,14360.2002,14385.90039,14337,14360.2002,0
15/04/2022,14383.90039,14394.5,14337,14383.90039,0
18/04/2022,14337,14368,14277.25977,14337,0
19/04/2022,14353.7998,14364.5,14303.5,14353.7998,0
20/04/2022,14364.90039,14384.5,14275.26953,14364.90039,0
21/04/2022,14351,14359.2002,14279.25,14351,0
22/04/2022,14382,14492,14337,14382,0
25/04/2022,14350,14525,14350,14350,0
26/04/2022,14478,14476.5,14361.5,14478,0
27/04/2022,14466,14510.59961,14345.5,14466,0
28/04/2022,14447.5,14528.90039,14420,14447.5,0
29/04/2022,14502,14560,14398.5,14502,0
02/05/2022,14490,14565,14490,14490,0
03/05/2022,14522.59961,14576.09961,14458.5,14522.59961,0
